LOTUS FEATURE ROADMAP																																	
	Empire Progression Tree	1 spr	NOT STARTED		■																												
	Global Combat Research Tree	2 spr	NOT STARTED			■	■																										
	Hero Gacha v1	1 spr	NOT STARTED					■																									
	Passive Bonus Tiles	1 spr	NOT STARTED						■																								
	— Beta Prep —																																
	Beta Prep / Polish	2 spr	NOT STARTED							■	■																						
	— M&C: Pipeline A (5 features) —																																
	Main Menu UX/UI	1 spr	NOT STARTED									■																					
	Dungeons v2	1 spr	NOT STARTED										■																				
	Timed Objectives	1 spr	NOT STARTED											■																			
	End Level Reward Screen	1 spr	NOT STARTED												■																		
	Academies	1 spr	NOT STARTED													■																	
	— M&C: Pipeline B (4 features) —																																
	Hero Ranking Up	1 spr	NOT STARTED									■																					
	Shop	1 spr	NOT STARTED										■																				
	Hero Gacha v2	1 spr	NOT STARTED											■																			
	Timed PvE Live Ops Maps	1 spr	NOT STARTED												■																		
	— Live Ops (10 features) —																																
	Live Ops Features (10 items TBD)	5 spr	NOT STARTED															■	■	■	■	■											
	— Soft Launch (5 features) —																																
	Soft Launch Features (5 items TBD)	3 spr	NOT STARTED																							■	■	■					
																																	
BATTLE																																	
	Pod Lead: Lincoln Li | Producer: Thorben Novais | Eng: Jota Oliveira (1x) | Design: Lincoln, Nathan, Dylan, Vishaal																																
	⚠️ CAPACITY: 1 client eng (Jota). All features sequential. 9 eng-sprints for 6+2 sprint window.																																
	Battle HUD Beta Overhaul	3 spr	NOT STARTED	■	■	■																											
	Obstacles	1 spr	NOT STARTED				■																										
	Actor System Overhaul	1 spr	NOT STARTED					■																									
	Pathfinding & AI Improvements	1 spr	NOT STARTED						■																								
	Battle Server Validation	1 spr	NOT STARTED							■																							
	Beta Prep / Polish	1 spr	NOT STARTED								■																						
	Pool Management (deferred from M&Ms)	1 spr	DEFERRED									■																					
	M&C Battle Features (TBD)	4 spr	NOT STARTED										■	■	■	■																	
	Battle Content (Design/Art)	Ongoing	IN PROGRESS	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–
	Unit Content (Design/Art)	Ongoing	IN PROGRESS	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–
																																	
SOCIAL DYNAMICS																																	
	Pod Lead: Paul Flores | Producer: Tim Williams | Eng: Randy, Garrett, Bruno B., Tiago (new), Marcos L. (from Empire)																																
	⚠️ RISK: Randy & Garrett split with Dozer ops. Tiago is new hire.																																
	— Track 1: Multiplayer Maps (P1-P10) —																																
	P1: Infrastructure & Foundation	~1 spr	IN PROGRESS	■																													
	P2: Map Foundation	~2 spr	NOT STARTED		■	■																											
	P3: Basic Game Logic (6 features)	~2 spr	NOT STARTED				■	■																									
	P4-P6: Heroes, Tiles, Initial Rollout	~2 spr	NOT STARTED						■	■	■																						
	P7-P10: Map Completion	6 spr	NOT STARTED									■	■	■	■	■	■																
	— Track 2: Parallel Streams —																																
	Multiplayer Networking	~6 spr	IN PROGRESS	■	■	■	■	■	■																								
	AI Prototype Playtesting	~6 spr	IN PROGRESS	◆	◆	◆	◆	◆	◆																								
	— Post-M&C Features —																																
	Ravager's Reef	3 spr	NOT STARTED															■	■	■													
	Battlepass	2 spr	NOT STARTED																		■	■											
																																	
DOZER																																	
	Eng Lead: Derek Gallant | Eng: Bruno Freitas | Randy & Garrett (partial)																																
	Infrastructure & Tooling (TBD)	~7 spr	NOT STARTED	■	■	■	■	■	■	■																							
	Content Pipeline Scaling	TBD	NOT STARTED									?	?	?	?	?	?																
	UA / Analytics Instrumentation	TBD	NOT STARTED																							?	?	?	?	?	?	?	?
																																	
ART																																	
	Art Director: Kevin Griffith | Assoc AD: Brendan Cheatham | Producer: Brann Livesay																																
	Character Assets (Heroes & Units)	7 spr	IN PROGRESS	■	■	■	■	■	■	■																							
	Environment Art (Map tiles, buildings)	7 spr	IN PROGRESS	■	■	■	■	■	■	■																							
	UI/UX Assets	7 spr	IN PROGRESS	■	■	■	■	■	■	■																							
	VFX & Animation	6 spr	NOT STARTED	■	■	■	■	■	■																								
	Beta Polish	2 spr	NOT STARTED							■	■																						
	Hero Assets Expansion	6 spr	NOT STARTED									■	■	■	■	■	■																
	Monetization Assets	6 spr	NOT STARTED									■	■	■	■	■	■																
	Pipeline Scaling	6 spr	NOT STARTED									■	■	■	■	■	■																
																																	
KEY DATES & VALIDATION																																	
																																	
	Milestone End Dates								🏁 M&Ms END		🏁 Beta Prep END						🏁 M&C END								🏁 Live Ops END								🏁 Soft Launch END
	Key SHQs Under Test			SHQ2, SHQ7, SHQ1								SHQ10-13, SHQ16						SHQ18-22															
	Winning Hypotheses Focus			WH-2 (Empire)				WH-1 (Battle)				WH-3 (Monetization)						WH-2, WH-3								WH-4 (Production)							
																																	
LEGEND																																	
	■ = Scheduled work																																
	– = Ongoing/continuous																																
	◆ = Parallel prototype track																																
	? = TBD / Not yet scoped																																
	⚠️ = Capacity or schedule risk																																
